	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__T5likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Inoviridae|g__Inovirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polyomaviridae|g__Polyomavirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Retroviridae_noname	label
G80320	0.0	0.0	0.0	0.0	0.36701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5261799999999999	2.89547	0.12554	0.00302	0.0	0.0	0.0162	0.0	0.02174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78534	0.0	0.0	0.0	0.0	0.1566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11653	0.10044	0.0	0.0	1.37396	1.19993	0.55862	0.08916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80614	0.0	0.14390999999999998	0.0	0.0	0.73533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4401	0.0	0.0	0.0069299999999999995	1.8398900000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28788	0.0	0.15992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80620	0.0	0.0	0.0	0.0	0.12204000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24849000000000002	0.0	0.0	0.0	0.90371	0.0	0.02833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20077	0.0	0.01107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80391	0.0	0.0	0.0	0.0	0.0064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09511	0.01842	0.0	0.0	0.02957	0.49765	0.08262	0.09504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78852	0.0	0.0	0.0	0.0	1.94502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78796	0.0	0.0	0.0	0.0	0.015390000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00349	0.0	0.0	0.05835	0.0	0.0	0.07731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78629	0.0	0.0	0.0	0.0	0.16085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08841	0.030139999999999997	0.10115	0.0	0.16477999999999998	0.10747000000000001	0.01372	0.0	0.0	0.0	0.66874	0.0	0.32761999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09734	1
G78590	0.0	0.0	0.0	0.0	0.19226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013519999999999999	0.0	0.18316	1.19985	0.0	1.0357299999999998	0.0	0.0	0.0	0.0	0.0	0.59911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78532	0.0	0.0	0.0	0.0	0.51261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00943	0.02669	0.08956	1.61467	0.49146000000000006	2.08206	0.0	0.29363	0.13918	0.0	0.0	0.0	0.0	0.83409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22906	0.31521	0.19683	0.24206999999999998	0.03266	0.0	0.0142	0.0	0.0	0.0	1.00797	0.0	0.10597000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80502	0.0	0.0	0.0	0.0	0.0685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013590000000000001	0.0	0.01197	0.0	0.0	0.13316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80295	0.0	0.0	0.0	0.0	0.13112000000000001	0.0	1.24401	0.0	0.0	0.0	0.0	0.0	0.00093	0.00672	0.0	0.0	0.14031	0.12369000000000001	1.15326	0.01037	0.02298	0.008020000000000001	0.0	0.0	0.0	0.91594	0.0	0.44243000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50684	0.17060999999999998	0.0	0.03938	0.0	0.0	0.13742000000000001	0.08138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78670	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50443	0.0	0.0	0.05782	0.43073999999999996	0.0	0.0	0.01769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80345	0.0	0.0	0.0	0.0	6.4290199999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22981999999999997	0.0	0.0	0.0	0.00762	0.0	0.0	0.0	0.0	0.00601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G69186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52623	0.21655	0.0	0.01961	0.09467	0.0	0.20546	0.11077999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78905	0.0	0.08484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78647	0.0	0.26071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80279	0.0	0.00743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02982	0.53264	0.0	0.19983	0.0	0.0	0.0	0.0	0.0	0.0	0.0036299999999999995	0.0054600000000000004	0.0	0.0	0.08517999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G69224	0.0	0.024990000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G69181	0.0	0.12922999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046700000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78636	0.0	0.0	0.0	0.0	0.53093	0.0	2.0180599999999997	5.72923	0.0	0.11129000000000001	0.0	0.0	0.0	0.0	0.044239999999999995	0.31940999999999997	0.1266	0.22132	0.22823000000000002	0.0	0.03871	0.00939	0.0	1.21355	0.0	0.0	0.01492	0.43618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80462	0.0	0.01969	0.0	0.0	3.5894699999999995	0.00575	0.0	0.02688	0.0	0.0	0.0	0.0	0.0	0.0001	0.39304	0.20861999999999997	0.01992	1.06938	0.00103	0.007679999999999999	0.0	0.0	0.0	0.00424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00907	1
G80486	0.0143	0.0	0.0	0.0	0.11548	0.0	0.57844	2.94706	0.0	0.9899399999999999	0.0	0.0	0.0	0.023209999999999998	0.02607	0.18545	0.17968	0.06891	0.29618	0.0	0.02108	0.0025399999999999997	0.0	1.5667799999999998	0.0	0.0	0.0	0.6561600000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78500	4.14646	0.0	0.0	0.0	0.21385	0.0	0.09473999999999999	0.23928000000000002	0.0	0.04622	0.0	0.0	0.0050799999999999994	0.052320000000000005	0.0	0.0	0.0	0.24449	1.6084399999999999	0.008709999999999999	0.01647	0.0	0.0	0.16351	0.0	0.0	0.0	0.0033299999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.0	0.0	0.0	0.0	0
G80358	0.0	0.0	0.0	0.0	0.43931000000000003	0.0	2.18975	2.08265	0.0	0.0	0.0	0.0	0.0	0.09136	0.01089	4.61406	0.18117	1.03682	1.47822	0.07329	0.03923	0.07411000000000001	0.0	3.25808	0.01072	0.0	0.059789999999999996	1.83361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80300	0.0	0.1351	0.0	0.0	1.15491	0.00337	0.0	0.20273	0.0	0.0	0.0	0.0	0.0	0.041960000000000004	0.0014199999999999998	0.0	0.22616	0.08411	0.015719999999999998	0.0	0.0	0.0	0.0	0.02232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G80418	0.0	0.0	0.0	0.0	4.249969999999999	0.0	0.62045	1.40515	0.0	0.14442	0.0	0.0	0.0	0.00405	0.13451	0.58249	0.41526	0.4355	0.17725	0.15185	0.01636	0.09487999999999999	0.0	0.6712199999999999	0.0	0.0	0.0	0.06992999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03243	2.45739	2.12859	0.26895	0.09354	0.043160000000000004	0.06081	0.0	0.0	0.0	0.0	0.0	0.59226	0.01851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78565	0.0	0.0	0.0	0.0	0.11631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00059	0.42173999999999995	2.3750299999999998	1.54159	0.8720700000000001	0.01899	0.28596	0.025889999999999996	0.006529999999999999	0.0	0.0	0.0	0.0	0.5264300000000001	0.00301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56033	1
G80287	0.0	0.0014	0.0	0.0	0.59853	0.0	0.0	2.3216200000000002	0.0	0.80125	0.0	0.0	0.0	0.21794000000000002	0.04245	0.007240000000000001	0.21126999999999999	0.34817	1.01147	0.0692	0.08855	0.0	0.0	0.0	0.0	0.13230999999999998	0.0	0.02112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04331	0
G80334	0.0	0.0	0.0	0.0	0.12747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03897	0.046610000000000006	0.15642999999999999	0.11064	0.51571	0.37339	0.0	0.049760000000000006	0.026680000000000002	0.10627	0.0	0.0	0.0	0.0	0.05486	0.08371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78790	0.0	0.0	0.0	0.0	0.02887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03603	0.0	0.0	0.09468	0.0	0.0	0.0	0.0	0.01889	0.0	0.0	0.0	0.99825	0.22884000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
G78743	0.0	0.0	0.0	0.0	0.01181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07284	0.7381300000000001	0.55401	0.28414	0.14285	0.058620000000000005	0.08436	0.0	0.0	0.0	0.0	0.0	2.42613	0.27891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G80315	0.0	0.01889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.50244	0.8794	0.10300999999999999	0.19749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
G78772	0.0	0.02045	0.0	0.0	1.2429299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10135	1.2009299999999998	0.0	0.0	0.0	0.46751000000000004	0.0	0.8992399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
