	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera
G69172	56.004430000000006	6.37628	0.06264	0.16224	0.06006	1.37111	3.43785	0.11432	0.33259	11.5578	0.010190000000000001	0.13704000000000002	1.0098	0.0	0.01188	5.00888	0.06985	0.0647	0.22165	0.25026	0.14204	0.00807	0.66061	3.7174	0.0	0.0	0.0	0.01541	0.0	0.0	0.0	0.14642	8.28938	0.00449	0.55945	0.15015	0.0	0.0	0.0	0.0
G80284	0.00509	2.97574	2.21224	0.6280100000000001	0.03299	4.15752	0.48639	0.59459	2.06407	11.65934	0.0	0.57597	3.1917	0.0	0.53061	2.54613	0.18118	0.0	0.68004	0.0	0.18841	0.18447	0.0	3.2573	0.0	0.00856	62.65645	0.02259	0.0	0.00225	0.50484	0.0	0.0	0.028189999999999996	0.0	0.0	0.11975999999999999	0.33465	0.0	0.0
G80320	0.6965	6.6395800000000005	0.00592	0.0	27.59617	1.36374	0.33586	0.36701	0.0	0.19446	0.08391	0.12554	0.25414000000000003	24.06232	0.0	0.1818	0.0	1.7317599999999997	0.00507	0.1908	0.0	2.89547	6.92727	6.13795	0.14920999999999998	0.15425999999999998	0.0008	0.06372	0.0	4.30612	0.0026	0.00302	0.0	0.0	0.17167000000000002	12.32715	0.0	0.0	0.0	0.0
G78534	38.23359	3.24479	0.65946	2.7307099999999997	0.41741000000000006	1.34974	1.42798	0.1566	1.91562	12.14917	0.0037	1.37396	3.41906	0.03321	0.10044	7.13634	0.3499	0.0	0.2269	5.54595	0.55862	0.0	0.50139	3.82461	0.0	0.43828	0.0	0.86416	0.11653	0.0	1.14452	1.19993	5.486190000000001	0.08916	4.87753	0.0	0.0	0.0	0.0	0.0
G80614	0.05415	9.49054	43.45125	8.010869999999999	0.72045	0.12325	2.01205	0.73533	2.28367	0.0027199999999999998	0.0401	1.8398900000000002	0.0	0.9424399999999999	0.0	0.0	0.66142	0.00172	0.00016999999999999999	0.0	0.0	0.0069299999999999995	0.0	0.0	0.0	0.0	0.0	2.28761	1.4401	0.79898	0.0	0.0	0.0	0.0	0.0	0.0	0.67165	0.0	0.0	14.4463
G80620	0.0907	0.56295	5.14595	8.19795	1.7766	12.44247	0.35875	0.12204000000000001	1.94944	58.01546999999999	0.009059999999999999	0.90371	4.25721	0.0012	0.0	0.0	0.9257799999999999	0.00606	3.3310699999999995	0.0	0.02833	0.0	0.0	0.0	0.0	0.0	0.0	0.03779	0.24849000000000002	0.05056	0.0	0.0	0.0	0.0	0.0	0.0	0.0825	0.0	0.0	0.48877
G80391	11.23408	0.6111800000000001	0.29849000000000003	1.3763	0.08461	0.35483000000000003	0.55384	0.0064	0.09153	0.76612	1.40825	0.02957	0.10300999999999999	0.0	0.01842	6.307869999999999	0.03263	1.91513	0.0	1.00937	0.08262	0.0	0.0	0.5865	0.0	0.032119999999999996	63.26435	0.0192	0.09511	0.013309999999999999	0.40459	0.49765	0.0	0.09504	6.885669999999999	0.09537999999999999	0.13283	0.0	0.0	1.4826700000000002
G78852	7.63961	0.02271	0.013090000000000001	0.0	0.0	0.0	0.0033	1.94502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74293	0.0	0.0	0.0	0.0	0.0	0.0	0.15285	0.0	89.06003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78796	25.359029999999997	65.71815	1.43418	0.14861	0.30703	0.0	0.0	0.015390000000000001	0.0	0.00037	3.10946	0.0	0.0	0.44028999999999996	0.0	0.0031	0.0	0.00078	0.0	0.0003	0.05835	0.00349	0.0	0.0	0.00201	0.20395	0.11358	0.13840999999999998	0.0	0.04875	0.0018899999999999998	0.0	0.0	0.0	0.0	0.060239999999999995	0.0	0.0	0.0	2.7545
G78629	58.822030000000005	4.851430000000001	0.0	0.01381	0.0	0.13710999999999998	0.030680000000000002	0.16085	0.13943	3.2933	0.0	0.10115	0.6846800000000001	0.0	0.0	6.72193	0.01325	15.01706	0.0	0.39127	0.16477999999999998	0.030139999999999997	0.0	3.9130300000000005	3.9637599999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10747000000000001	0.0	0.0	0.0	0.0	0.0	0.0
G78590	42.88054	3.69496	0.15462	0.11383	0.1475	0.51065	0.25714000000000004	0.19226	2.2673200000000002	7.507569999999999	0.02586	1.19985	0.67697	0.0	0.013519999999999999	9.10009	0.19214	8.91244	0.17125	4.12716	1.0357299999999998	0.18316	0.0	14.942820000000001	0.7548600000000001	0.0	0.039889999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04527
G78532	39.06584	2.77936	0.18453	0.36573	0.74798	1.6434099999999998	3.06877	0.51261	0.7884899999999999	7.6597800000000005	0.03785	2.08206	0.44635	0.0	0.08956	7.44756	0.09773	1.6558099999999998	0.4207	13.96229	0.29363	0.49146000000000006	0.0	11.57646	0.8407399999999999	0.0	0.0	0.0	0.02669	0.0	0.015090000000000001	0.0	0.0	0.13918	0.0	0.0	0.06147999999999999	0.00943	0.0	0.0
G78600	56.81386	1.05647	0.0	0.00446	0.3071	0.34098	1.78758	0.0	0.43508	5.14158	3.3020099999999997	0.19683	0.7470399999999999	0.0	0.0	7.046889999999999	0.0	5.00605	0.0	3.00389	0.03266	0.31521	0.0	0.7125199999999999	10.65938	0.0	0.0	0.0	0.0	0.0	0.0	0.24206999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80502	0.00063	85.9279	7.3406899999999995	0.04249	0.030910000000000003	0.01889	0.68726	0.0685	0.0	0.0023899999999999998	0.0	0.0	0.10296	2.45525	0.013590000000000001	0.13614	0.19421	0.0081	0.7979	0.53564	0.13316	0.01197	0.0	0.0	0.0	0.0	0.0	0.02015	0.0	0.04469	0.0	0.0	0.0	0.0	1.12794	0.0	0.0	0.0	0.0	0.04324
G80295	68.51269	0.96511	0.0	0.0	0.0	0.369	2.42307	0.13112000000000001	0.08469	1.50804	10.21069	0.12369000000000001	0.1782	0.0	0.0	4.82108	0.00557	1.76708	0.02962	0.8708	0.01037	0.14031	0.013609999999999999	0.5673	3.1591	0.0	0.0	0.0	0.00672	0.0	0.0	1.15326	0.0	0.02298	0.0	0.0	0.0	0.00093	0.0	0.0
G78672	0.031760000000000004	7.19482	0.25149	1.53284	0.0612	1.37761	0.25582	0.0	0.50866	2.46767	46.850120000000004	0.0	0.6361899999999999	0.0	0.17060999999999998	11.231489999999999	0.98367	0.0	0.45453000000000005	4.78136	0.13742000000000001	0.03938	0.56301	0.0	0.0026100000000000003	0.0	10.15859	0.00921	0.50684	0.0	0.13589	0.0	8.1679	0.08138	0.0	0.0	0.0	0.0	0.0	0.23695
G78670	0.01999	45.36893	2.33849	6.48613	0.24204	1.65498	0.007790000000000001	0.0	0.42095	0.68609	0.0	0.43073999999999996	2.40747	0.0	0.0	1.9486900000000003	0.71026	0.0	0.57299	0.0	0.0	0.05782	2.22538	0.0	0.0	0.0	0.00185	0.08484	0.50443	0.0	0.0	0.0	31.28371	0.01769	0.0	0.0	0.0	0.0	0.0	2.46543
G80345	10.1484	64.87071	2.48989	1.9971700000000001	0.013380000000000001	0.39204	0.0068200000000000005	6.4290199999999995	0.0	0.04173	2.06755	0.00762	0.0	3.0423299999999998	0.0	0.02508	0.0	0.0017100000000000001	0.0	0.01202	0.0	0.0	0.0	0.01459	0.13901	0.00322	0.0	1.49474	0.22981999999999997	6.51759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G69186	0.052629999999999996	47.85465	0.5643699999999999	3.83015	0.26473	5.448930000000001	0.09142	0.0	1.3662299999999998	3.4902900000000003	5.74484	0.09467	0.16549	0.0	0.21655	9.4302	1.3820700000000001	0.0	0.51761	5.67765	0.20546	0.01961	2.34688	0.0	0.0	0.0	3.5559800000000004	0.0	0.52623	0.0	0.0	0.0	6.8401	0.11077999999999999	0.0	0.0	0.0	0.0	0.0	0.13619
G78905	0.00473	99.46816	0.04646	0.00115	0.09788999999999999	0.00016999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00106	0.0	0.0	0.0	0.0	0.0	0.0	0.20626999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78647	0.0	93.89506999999999	1.7379099999999998	0.26161	0.12769	0.0	0.00744	0.0	0.01237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3930300000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1427	0.0	0.0	0.0
G80279	41.14205	47.25935	3.83766	3.7019599999999997	0.07587999999999999	0.47938000000000003	0.0041600000000000005	0.0	0.00755	0.0	0.0	0.53264	0.00834	0.21574000000000002	0.0	0.49683999999999995	0.0	0.0	0.0	0.0	0.19983	0.02982	0.0	0.0	0.0	0.0	0.014119999999999999	0.09085	0.0	1.7711599999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036299999999999995	0.0
G69224	0.0	86.01929	4.12343	0.018080000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01097	0.0	1.99839	0.0	4.725709999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G69181	0.0	78.66955	5.99621	9.03357	0.30198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025869999999999997	5.1225	0.0	0.0	0.0	0.0	0.0	0.0	0.0046700000000000005	0.0	0.0003	0.0	0.0	0.0038399999999999997	0.0	0.0	0.0	0.59522	0.0	0.0	0.0	0.0	0.0	0.0	0.05429	0.0	0.0	0.0
G78636	16.44647	3.66554	0.9708899999999999	0.0	0.0	0.45547	5.7249300000000005	0.53093	0.0	2.25651	0.9320299999999999	0.22132	0.66804	0.0	0.044239999999999995	2.6843	0.0	25.339000000000002	0.0	0.0414	0.0	0.1266	0.19857	0.95409	10.71743	17.58164	0.0	0.0	0.0	0.18014000000000002	0.0	0.22823000000000002	0.0	0.03871	0.0	0.0	0.0	0.0	0.01492	0.0
G80462	0.9054	81.73291	3.7455	0.00227	0.008159999999999999	0.5219699999999999	0.02574	3.5894699999999995	0.0	0.0014199999999999998	0.0029	1.06938	0.17604	0.04099	0.39304	0.055720000000000006	0.2351	0.88594	0.25394	0.01675	0.007679999999999999	0.01992	1.0974	0.00022	0.0019399999999999999	0.013430000000000001	0.0	0.00201	0.0001	3.94739	0.0	0.00103	0.0	0.0	0.72523	0.00435	0.0	0.0	0.0	0.03517
G80486	64.31291999999999	0.91824	0.28567	0.01904	0.0156	0.99159	1.8603299999999998	0.11548	0.009000000000000001	0.69001	2.7639400000000003	0.06891	0.034230000000000003	0.0	0.02607	2.08089	0.00131	5.57241	0.0	0.48636	0.0	0.17968	0.08333	2.8595200000000003	7.65713	0.73652	0.0	0.029189999999999997	0.023209999999999998	0.017159999999999998	0.0	0.29618	0.0	0.02108	0.32827	0.05861	0.25498000000000004	0.0	0.0	0.0
G78500	27.43536	0.12362999999999999	0.03857	0.18195	0.03148	0.20138	0.8414	0.21385	0.0	0.25348000000000004	0.23096	0.24449	1.59161	0.0	0.0	0.65063	0.13218	57.56097	0.19610999999999998	0.04336	0.008709999999999999	0.0	0.026810000000000004	0.8073199999999999	1.09962	0.05942000000000001	0.0	0.0	0.052320000000000005	0.3627	0.0	1.6084399999999999	0.0	0.01647	1.02242	0.15875	0.0646	0.0050799999999999994	0.0	0.0
G80358	24.6872	7.83052	0.87854	0.02598	0.0181	2.76695	5.76776	0.43931000000000003	0.0	2.57773	2.96506	1.03682	0.86656	0.0	0.01089	6.05696	0.30246	9.67613	0.19049000000000002	1.10912	0.07329	0.18117	1.20951	8.0795	5.15395	0.21366999999999997	0.0	0.15607000000000001	0.09136	0.0	0.0	1.47822	0.0	0.03923	1.65357	0.0	0.0	0.0	0.059789999999999996	0.0
G80300	7.668589999999999	75.75392	2.25466	0.07132999999999999	0.09788999999999999	0.28181	0.7336	1.15491	0.0	0.04193	2.1021900000000002	0.08411	0.0	5.212219999999999	0.0014199999999999998	0.11575999999999999	0.0026899999999999997	0.43778	0.022609999999999998	0.32636	0.0	0.22616	1.23367	0.01215	0.0	0.022000000000000002	0.00268	0.01835	0.041960000000000004	0.35254	0.05486	0.015719999999999998	0.08718	0.0	0.41957	0.07146	0.0	0.0	0.0	0.0
G80418	9.60506	7.943	0.48443	0.0	1.3559299999999999	3.2046900000000003	3.35207	4.249969999999999	0.0	0.59032	0.23579	0.4355	0.09648	0.0	0.13451	1.12582	0.5484399999999999	33.83132	0.3852	1.27403	0.15185	0.41526	0.6441	16.52779	3.06446	6.17301	0.0	0.0	0.00405	0.0177	0.0	0.17725	0.0	0.01636	0.0	0.03918	0.0	0.0	0.0	0.0
G78742	10.01543	5.1603699999999995	0.05416	0.06326	0.0176	1.13119	1.6503299999999999	0.0	1.0399100000000001	5.1214900000000005	0.53703	0.26895	0.0	0.0	0.03243	25.053720000000002	0.0	0.0	0.0	38.624559999999995	0.043160000000000004	2.12859	1.0512700000000001	0.90402	0.0	0.0	0.0	0.0	0.0	0.0	2.92118	0.09354	0.0	0.06081	0.0	0.0	0.0	0.0	0.59226	0.9204200000000001
