	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Podoviridae_noname	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__T5likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus
G69172	0.0	0.66061	0.0	0.0	0.010190000000000001	0.0	0.0	0.0	0.0	0.0	0.06006	1.0098	0.25026	0.01188	1.37111	0.0	0.0	0.13704000000000002	11.5578	0.14642	5.00888	3.7174	0.22165	0.0	0.0	0.0	0.16224	0.0	0.0	0.0	0.01541	0.0	0.0647	0.0	0.0	0.0	0.55945	0.0	0.0	0.0
G80284	0.0	0.0	0.0	0.0	0.0	0.0	62.65645	0.0	0.00225	0.0	0.03299	3.1917	0.0	0.53061	4.15752	0.029019999999999997	0.0	0.57597	11.65934	0.0	2.54613	3.2573	0.68004	0.0	0.50484	0.0	0.6280100000000001	0.0	0.0	0.11975999999999999	0.02259	0.0	0.0	0.0	0.0	0.00856	0.0	0.0	0.0	0.0
G80320	0.0	6.92727	0.0	0.0	0.08391	0.0	0.0008	0.14920999999999998	4.30612	24.06232	27.59617	0.25414000000000003	0.1908	0.0	1.36374	0.0	1.5261799999999999	0.12554	0.19446	0.00302	0.1818	6.13795	0.00507	0.02174	0.0026	0.0	0.0	0.0	0.0	0.0	0.06372	0.0	1.7317599999999997	0.0	0.0	0.15425999999999998	0.17167000000000002	0.0	0.0	0.0
G78534	0.0	0.50139	0.0	0.0	0.0037	0.0	0.0	0.0	0.0	0.03321	0.41741000000000006	3.41906	5.54595	0.10044	1.34974	0.009040000000000001	0.0	1.37396	12.14917	1.19993	7.13634	3.82461	0.2269	0.0	1.14452	0.0	2.7307099999999997	0.0	0.0	0.0	0.86416	0.0	0.0	0.0	0.0	0.43828	4.87753	0.0	0.0	0.0
G80614	0.0	0.0	0.0	0.0	0.0401	0.0	0.0	0.0	0.79898	0.9424399999999999	0.72045	0.0	0.0	0.0	0.12325	0.0	0.0	1.8398900000000002	0.0027199999999999998	0.0	0.0	0.0	0.00016999999999999999	0.0	0.0	0.0	8.010869999999999	0.0	0.15992	0.67165	2.28761	0.0	0.00172	0.0	0.0	0.0	0.0	0.0	0.0	0.07234
G80620	0.0	0.0	0.0	0.0	0.009059999999999999	0.0	0.0	0.0	0.05056	0.0012	1.7766	4.25721	0.0	0.0	12.44247	0.0	0.0	0.90371	58.01546999999999	0.0	0.0	0.0	3.3310699999999995	0.0	0.0	0.0	8.19795	0.0	0.01107	0.0825	0.03779	0.0	0.00606	0.0	0.0	0.0	0.0	0.0	0.0	0.21353000000000003
G80391	0.0	0.0	0.0	0.0	1.40825	0.0	63.26435	0.0	0.013309999999999999	0.0	0.08461	0.10300999999999999	1.00937	0.01842	0.35483000000000003	0.0	0.0	0.02957	0.76612	0.49765	6.307869999999999	0.5865	0.0	0.0	0.40459	0.0	1.3763	0.0	0.0	0.13283	0.0192	0.0	1.91513	0.0	0.0	0.032119999999999996	6.885669999999999	0.0	0.0	0.0
G78852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.06003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02028	0.0	0.15285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78796	0.0	0.0	0.0	0.0	3.10946	0.0	0.11358	0.00201	0.04875	0.44028999999999996	0.30703	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.00037	0.0	0.0031	0.0	0.0	0.0	0.0018899999999999998	0.0	0.14861	0.0	0.00084	0.0	0.13840999999999998	0.0	0.00078	0.0	0.0	0.20395	0.0	0.0	0.0	0.0
G78629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9637599999999997	0.0	0.0	0.0	0.6846800000000001	0.39127	0.0	0.13710999999999998	0.0	0.08841	0.10115	3.2933	0.0	6.72193	3.9130300000000005	0.0	0.0	0.0	0.0	0.01381	0.0	0.0	0.0	0.0	0.0	15.01706	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78590	0.0	0.0	0.0	0.0	0.02586	0.0	0.039889999999999995	0.7548600000000001	0.0	0.0	0.1475	0.67697	4.12716	0.013519999999999999	0.51065	0.0	0.0	1.19985	7.507569999999999	0.0	9.10009	14.942820000000001	0.17125	0.0	0.0	0.0	0.11383	0.0	0.0	0.0	0.0	0.0	8.91244	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78532	0.0	0.0	0.0	0.0	0.03785	0.0	0.0	0.8407399999999999	0.0	0.0	0.74798	0.44635	13.96229	0.08956	1.6434099999999998	0.0	1.61467	2.08206	7.6597800000000005	0.0	7.44756	11.57646	0.4207	0.0	0.015090000000000001	0.0	0.36573	0.0	0.0	0.06147999999999999	0.0	0.0	1.6558099999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78600	0.0	0.0	0.0	0.0	3.3020099999999997	0.0	0.0	10.65938	0.0	0.0	0.3071	0.7470399999999999	3.00389	0.0	0.34098	0.0	1.22906	0.19683	5.14158	0.24206999999999998	7.046889999999999	0.7125199999999999	0.0	0.0	0.0	0.0	0.00446	0.0	0.0	0.0	0.0	0.0	5.00605	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04469	2.45525	0.030910000000000003	0.10296	0.53564	0.013590000000000001	0.01889	0.0	0.0	0.0	0.0023899999999999998	0.0	0.13614	0.0	0.7979	0.0	0.0	0.0	0.04249	0.0	0.0	0.0	0.02015	0.0	0.0081	0.0	0.22000999999999998	0.0	1.12794	0.0	0.0	0.0
G80295	0.0	0.013609999999999999	0.0	0.0	10.21069	0.0	0.0	3.1591	0.0	0.0	0.0	0.1782	0.8708	0.0	0.369	0.0	0.0	0.12369000000000001	1.50804	1.15326	4.82108	0.5673	0.02962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76708	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78672	0.0	0.56301	0.0	0.0	46.850120000000004	0.0	10.15859	0.0026100000000000003	0.0	0.0	0.0612	0.6361899999999999	4.78136	0.17060999999999998	1.37761	0.0	0.0	0.0	2.46767	0.0	11.231489999999999	0.0	0.45453000000000005	0.0	0.13589	0.0	1.53284	0.0	0.0	0.0	0.00921	0.0	0.0	0.0	1.0524	0.0	0.0	0.0	0.0	0.0
G78670	0.0	2.22538	0.0	0.0	0.0	0.0	0.00185	0.0	0.0	0.0	0.24204	2.40747	0.0	0.0	1.65498	0.0	0.0	0.43073999999999996	0.68609	0.0	1.9486900000000003	0.0	0.57299	0.0	0.0	0.0	6.48613	0.0	0.0	0.0	0.08484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80345	0.0	0.0	0.0	0.0	2.06755	0.0	0.0	0.13901	6.51759	3.0423299999999998	0.013380000000000001	0.0	0.01202	0.0	0.39204	0.0	0.0	0.00762	0.04173	0.0	0.02508	0.01459	0.0	0.0	0.0	0.0	1.9971700000000001	0.0	0.0	0.0	1.49474	0.0	0.0017100000000000001	0.0	0.0	0.00322	0.0	0.0	0.0	0.0
G69186	0.0	2.34688	0.0	0.0	5.74484	0.0	3.5559800000000004	0.0	0.0	0.0	0.26473	0.16549	5.67765	0.21655	5.448930000000001	0.0	0.0	0.09467	3.4902900000000003	0.0	9.4302	0.0	0.51761	0.0	0.0	0.0	3.83015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78905	0.0	0.00106	0.0	0.0	0.0	0.0	0.0	0.0	0.20626999999999998	0.07615	0.09788999999999999	0.0	0.0	0.0	0.00016999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26161	0.0	0.0	0.1427	3.3930300000000004	0.0	0.00049	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80279	0.0	0.0	0.0	0.0	0.0	0.0	0.014119999999999999	0.0	1.7711599999999998	0.21574000000000002	0.07587999999999999	0.00834	0.0	0.0	0.47938000000000003	0.0	0.0	0.53264	0.0	0.0	0.49683999999999995	0.0	0.0	0.0	0.0	0.0	3.7019599999999997	0.0036299999999999995	0.08517999999999999	0.0	0.09085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G69224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.725709999999999	3.07914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018080000000000002	0.0	0.0	0.0	1.99839	0.0	0.0	0.0	0.0	0.01097	0.0	0.0	0.0	0.0
G69181	0.0042	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.59522	5.1225	0.30198	0.025869999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.03357	0.0	0.0	0.05429	0.0	0.0	0.0	0.0	0.0	0.0038399999999999997	0.0	0.0	0.0	0.0
G78636	0.0	0.19857	5.72923	0.11129000000000001	0.9320299999999999	0.0	0.0	10.71743	0.18014000000000002	0.0	0.0	0.66804	0.0414	0.044239999999999995	0.45547	0.0	0.31940999999999997	0.22132	2.25651	0.22823000000000002	2.6843	0.95409	0.0	1.21355	0.0	0.0	0.0	0.01492	0.0	0.0	0.0	0.0	25.339000000000002	0.0	0.0	17.58164	0.0	0.0	0.0	0.0
G80462	0.00059	1.0974	0.02688	0.0	0.0029	0.0	0.0	0.0019399999999999999	3.94739	0.04099	0.008159999999999999	0.17604	0.01675	0.39304	0.5219699999999999	0.0	0.20861999999999997	1.06938	0.0014199999999999998	0.00103	0.055720000000000006	0.00022	0.25394	0.00424	0.0	0.0	0.00227	0.0	0.0	0.0	0.00201	0.0	0.88594	0.0	0.0	0.013430000000000001	0.72523	0.0	0.0	0.0
G80486	0.0	0.08333	2.94706	0.9899399999999999	2.7639400000000003	0.0	0.0	7.65713	0.017159999999999998	0.0	0.0156	0.034230000000000003	0.48636	0.02607	0.99159	0.0	0.18545	0.06891	0.69001	0.29618	2.08089	2.8595200000000003	0.0	1.5667799999999998	0.0	0.0	0.01904	0.0	0.0	0.25498000000000004	0.029189999999999997	0.0	5.57241	0.0	0.0	0.73652	0.32827	0.0	0.0	0.0
G78500	0.0	0.026810000000000004	0.23928000000000002	0.04622	0.23096	0.0	0.0	1.09962	0.3627	0.0	0.03148	1.59161	0.04336	0.0	0.20138	0.0	0.0	0.24449	0.25348000000000004	1.6084399999999999	0.65063	0.8073199999999999	0.19610999999999998	0.16351	0.0	0.0	0.18195	0.0	0.0	0.0646	0.0	0.0	57.56097	0.0	0.0	0.05942000000000001	1.02242	0.00042	0.0	0.0
G80358	0.0	1.20951	2.08265	0.0	2.96506	0.0	0.0	5.15395	0.0	0.0	0.0181	0.86656	1.10912	0.01089	2.76695	0.0	4.61406	1.03682	2.57773	1.47822	6.05696	8.0795	0.19049000000000002	3.25808	0.0	0.01072	0.02598	0.059789999999999996	0.0	0.0	0.15607000000000001	0.0	9.67613	0.0	0.0	0.21366999999999997	1.65357	0.0	0.0	0.0
G80300	0.0	1.23367	0.20273	0.0	2.1021900000000002	0.0	0.00268	0.0	0.35254	5.212219999999999	0.09788999999999999	0.0	0.32636	0.0014199999999999998	0.28181	0.0	0.0	0.08411	0.04193	0.015719999999999998	0.11575999999999999	0.01215	0.022609999999999998	0.02232	0.05486	0.0	0.07132999999999999	0.0	0.0	0.0	0.01835	0.0	0.43778	0.0	0.0	0.022000000000000002	0.41957	0.0	0.0	0.0
G80418	0.0	0.6441	1.40515	0.14442	0.23579	0.0	0.0	3.06446	0.0177	0.0	1.3559299999999999	0.09648	1.27403	0.13451	3.2046900000000003	0.0	0.58249	0.4355	0.59032	0.17725	1.12582	16.52779	0.3852	0.6712199999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.83132	0.0	0.0	6.17301	0.0	0.0	0.0	0.0
G78742	0.0	1.0512700000000001	0.0	0.0	0.53703	0.0	0.0	0.0	0.0	0.0	0.0176	0.0	38.624559999999995	0.03243	1.13119	0.0	2.45739	0.26895	5.1214900000000005	0.09354	25.053720000000002	0.90402	0.0	0.0	2.92118	0.0	0.06326	0.59226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78565	0.0	0.0	0.0	0.0	0.20928000000000002	0.0	0.00229	0.0	0.0	0.0	1.4624700000000002	0.0	21.41456	0.42173999999999995	3.02041	0.01169	2.3750299999999998	0.8720700000000001	4.14776	0.01899	14.882970000000002	4.7691099999999995	0.0	0.0	2.47474	0.0	0.48495	0.5264300000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.408919999999999	12.89842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.278470000000002	0.0	0.0	0.0	54.27606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80287	0.0	3.4284800000000004	2.3216200000000002	0.80125	0.43518999999999997	0.0	0.01107	7.7094	0.0	0.0	0.16965	1.8148400000000002	2.24511	0.04245	2.74628	0.0	0.007240000000000001	0.34817	0.89289	1.01147	1.26783	8.98407	0.0213	0.0	9.60056	0.0	0.08997000000000001	0.0	0.0	0.00829	0.04729	0.0	7.46842	0.0	0.0	0.00713	0.0	0.0	0.0	0.0
G80334	0.0	0.0	0.0	0.0	0.40295	0.0	0.02575	0.0	0.0	0.0	0.07606	1.4069	6.83563	0.15642999999999999	1.17594	1.7572900000000002	0.11064	0.37339	4.4810300000000005	0.0	3.0905299999999998	0.75285	0.0	0.0	6.077000000000001	0.0	0.15142	0.05486	0.0	0.0	0.0	0.0	4.10308	0.0	0.0	0.0	0.0	0.0	0.0	0.0
